id,type,latitude,longitude,streetName,streetNumber,altitude,slots,bikes,nearbyStations,status
1,BIKE,41.397952,2.180042,Gran Via Corts Catalanes,760,21,1,23,"24, 369, 387, 426",OPN
2,BIKE,41.39553,2.17706,Roger de Flor/ Gran Vía,126,21,3,20,"360, 368, 387, 414",OPN
3,BIKE,41.393699,2.181137,Ali Bei,44,21,0,27,"4, 6, 119, 419",OPN
4,BIKE,41.39347,2.18149,Ribes,13,21,4,14,"3, 5, 359, 419",OPN
5,BIKE,41.391075,2.180223,Pg Lluís Companys,11,16,0,38,"6, 7, 359, 418",OPN
6,BIKE,41.391349,2.18061,Pg Lluís Companys,18,16,28,11,"5, 8, 359, 419",OPN
7,BIKE,41.388856,2.183251,Pg Lluís Companys,1,16,2,24,"8, 118, 389",OPN
8,BIKE,41.389088,2.183568,Pg Lluís Companys,2,11,1,24,"6, 118, 389",OPN
9,BIKE,41.384532,2.184921,Marquès de l'Argentera,13,11,0,26,"14, 40, 115, 389, 390",OPN
10,BIKE,41.38498,2.18417,Carrer Comerç,27,11,33,0,"9, 14, 115, 389",CLS
11,BIKE,41.381689,2.193914,Passeig Marítim,19,1,13,8,"116, 124, 125, 396",OPN
12,BIKE,41.384538,2.195679,Pg Marítim Barceloneta,23,0,13,17,"11, 13, 116, 396",OPN
13,BIKE,41.386861,2.195761,Avinguda Litoral,16,1,33,0,"11, 12, 46, 69",OPN
14,BIKE,41.384675,2.185039,Avinguda del Marques Argentera,15,11,5,22,"9, 40, 115, 389, 390",OPN
15,BIKE,41.39515,2.17076,Girona,74,42,19,0,"23, 25, 362, 413",OPN
16,BIKE,41.39827,2.186708,Av. Meridiana,47,18,16,4,"17, 48, 372",OPN
17,BIKE,41.398237,2.186711,Av. Meridiana,47,18,15,4,"16, 48, 211, 372",OPN
18,BIKE,41.406086,2.174167,Rosselló,453,49,1,25,"19, 28, 120, 370",OPN
19,BIKE,41.403282,2.170726,Rosselló,354,49,22,6,"18, 22, 29, 370",OPN
20,BIKE,41.410166,2.175759,Cartagena,308,59,3,17,"21, 28, 164, 177, 278",OPN
21,BIKE,41.410897,2.17402,Sant Antoni Maria Claret,214,59,2,19,"20, 28, 164, 278",OPN
22,BIKE,41.401684,2.17568,Sardenya,292,28,0,20,"29, 120, 369, 370",OPN
23,BIKE,41.392526,2.171812,Bruc,45,42,24,0,"15, 360, 363, 413",OPN
24,BIKE,41.399982,2.180319,Marina,185,21,0,21,"1, 30, 369, 426",OPN
